// race-specific variables (must start with _)
_empire                           | Вулій Клакон, Вулій Клакант, Вулій Клокан, Вулій Артропон, Вулій Колеоптерон
_empire2                          | Вулія Клакон, Вулія Клакант, Вулія Клокан, Вулія Артропон, Вулія Колеоптерон
_empire3                          | Вулію Клакон, Вулію Клакант, Вулію Клокан, Вулію Артропон, Вулію Колеоптерон
_empire4                          | Вулій Клакон, Вулій Клакант, Вулій Клокан, Вулій Артропон, Вулій Колеоптерон
_empire5                          | Вулієм Клакон, Вулієм Клакант, Вулієм Клокан, Вулієм Артропон, Вулієм Колеоптерон
_race                             | Клакон, Клакант, Клокан, Артропон, Колеоптерон
_race2                            | Клакона, Клаканта, Клокана, Артропона, Колеоптерона
_race3                            | Клакону, Клаканту, Клокану, Артропону, Колеоптерону
_race4                            | Клакона, Клаканта, Клокана, Артропона, Колеоптерона
_race5                            | Клаконом, Клакантом, Клоканом, Артропоном, Колеоптероном
_race7                            | Клаконе, Клаканту, Клокане, Артропоне, Колеоптероне
_race_plural                      | Клакони, Клаканти, Клокани, Артропони, Колеоптерони
_race_plural2                     | Клаконів, Клакантів, Клоканів, Артропонів, Колеоптеронів
_race_plural3                     | Клаконам, Клакантам, Клоканам, Артропонам, Колеоптеронам
_race_plural4                     | Клаконів, Клакантів, Клоканів, Артропонів, Колеоптеронів
_race_plural5                     | Клаконами, Клакантами, Клоканами, Артропонами, Колеоптеронами
_race_plural7                     | Клаконе, Клаканти, Клокане, Артропоне, Колеоптерони
_title                            | Правитель
_title3                           | Правителю
_title7                           | Правителю
_nameTitle  

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | Сховати
MAIN_ADVISOR_SCOUT                | Нарешті я можу покинути цю планету! Я повинен використовувати своїх розвідників, щоб знайти нові світи, які я можу колонізувати.
