// race-specific variables (must start with _)
_empire                           | Домініон Меклар, Домініон Механар, Домініон Кібернар, Домініон Діджитар, Домініон Теклар
_empire2                          | Домініону Меклар, Домініону Механар, Домініону Кібернар, Домініону Діджитар, Домініону Теклар
_empire3                          | Домініону Меклар, Домініону Механар, Домініону Кібернар, Домініону Діджитар, Домініону Теклар
_empire4                          | Домініон Меклар, Домініон Механар, Домініон Кібернар, Домініон Діджитар, Домініон Теклар
_empire5                          | Домініоном Меклар, Домініоном Механар, Домініоном Кібернар, Домініоном Діджитар, Домініоном Теклар
_race                             | Меклар, Механар, Кібернар, Діджитар, Теклар
_race2                            | Меклара, Механара, Кібернара, Діджитара, Теклара
_race3                            | Меклару, Механару, Кібернару, Діджитару, Теклару
_race4                            | Меклара, Механара, Кібернара, Діджитара, Теклара
_race5                            | Мекларом, Механаром, Кібернаром, Діджитаром, Текларом
_race7                            | Мекларе, Механаре, Кібернаре, Діджитаре, Текларе
_race_plural                      | Меклари, Механари, Кібернари, Діджитари, Теклари
_race_plural2                     | Меклар, Механар, Кібернар, Діджитар, Теклар
_race_plural3                     | Мекларам, Механарам, Кібернарам, Діджитарам, Текларам
_race_plural4                     | Меклар, Механар, Кібернар, Діджитар, Теклар
_race_plural5                     | Мекларами, Механарами, Кібернарами, Діджитарами, Текларами
_race_plural7                     | Меклари, Механари, Кібернари, Діджитари, Теклари
_title                            | Імператор
_title3                           | Імператору
_title7                           | Імператоре
_nameTitle                        | Верховний Арбітр

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
	MAIN_ADVISOR_TITLE                | Радник Меклар
	MAIN_ADVISOR_BUTTON_OK            | Сховати
	MAIN_ADVISOR_SCOUT                | Підготовка флоту до первинної розвідки та подальшої колонізації завершена. Очікування директиви. 
	MAIN_ADVISOR_TRANSPORT            | Колонія заснована. Назва: "%1". Місткість збільшена на %2 одиниць населення. Транспортування населення з системи "%3" збільшить ефективність нової колонії на REDACTED відсотків.
	MAIN_ADVISOR_DIPLOMACY            | Новий вид зафіксований. Ідентифікація: "[alien_race_plural]". Очікування вказівок від Мейнфрейма.
	MAIN_ADVISOR_SHIP_ENGINE          | Дослідження нового прототипу двигуна завершено. Увага! Для використання необхідні нові креслення кораблів.
	MAIN_ADVISOR_RALLY_POINTS         | Зареєстрована агресія [alien_race_plural2]. Пункти Збору кораблів збільшать ефективність флотів Домініону на REDACTED відсотків.
	MAIN_ADVISOR_MISSILE_BASES        | Запит Бойового Модуля: "Необхідно більше ракетних баз для оборони планет сектора А3. Ця дія збільшить шанси на успішний захист планет на REDACTED відсотків."
	MAIN_ADVISOR_SHIP_WEAPON          | Дослідження потужної зброї завершено. Для її запровадження необхідні нові дизайни кораблів.
	MAIN_ADVISOR_COUNCIL              | Увага! Зафіксовано створення нового галактичного об'єднання. Назва: "Галактична Рада". Делегація від Мейнфрейма забезпечить участь Домініону в справах інших імперій.  
	MAIN_ADVISOR_REBELLION            | Увага! Зафіксовано вірус в колонії %1. Для забезпечення цілісності Домініону необхідно видалення усіх постраждалих Меклар. 
