// race-specific variables (must start with _)
_empire                           | Клан Мрршан, Клан Прршан, Клан М'яушан, Клан Кігтошан, Клан Каджан
_empire2                          | Клану Мрршан, Клану Прршан, Клану М'яушан, Клану Кігтошан, Клану Каджан
_empire3                          | Клану Мрршан, Клану Прршан, Клану М'яушан, Клану Кігтошан, Клану Каджан
_empire4                          | Клан Мрршан, Клан Прршан, Клан М'яушан, Клан Кігтошан, Клан Каджан
_empire5                          | Кланом Мрршан, Кланом Прршан, Кланом М'яушан, Кланом Кігтошан, Кланом Каджан
_race                             | Мрршанин, Прршанин, М'яушанин, Кігтошанин, Каджин
_race2                            | Мрршанина, Прршанина, М'яушанина, Кігтошанина, Каджина
_race3                            | Мрршанину, Прршанину, М'яушанину, Кігтошанину, Каджину
_race4                            | Мрршанина, Прршанина, М'яушанина, Кігтошанина, Каджина
_race5                            | Мрршанином, Прршанином, М'яушанином, Кігтошанином, Каджином
_race7                            | Мрршанин, Прршанин, М'яушанин, Кігтошанин, Каджин
_race_plural                      | Мрршани, Прршани, М'яушани, Кігтошани, Каджани
_race_plural2                     | Мрршан, Прршан, М'яушан, Кігтошан, Каджан
_race_plural3                     | Мрршанам, Прршанам, М'яушанам, Кігтошанам, Каджанам
_race_plural4                     | Мрршан, Прршан, М'яушан, Кігтошан, Каджан
_race_plural5                     | Мрршанами, Прршанами, М'яушанами, Кігтошанами, Каджанами
_race_plural7                     | Мрршани, Прршани, М'яушани, Кігтошани, Каджани
_title                            | Хан
_title3                           | Хану
_title7                           | Хане
_nameTitle                        | Хан

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Радник Мрршан
MAIN_ADVISOR_BUTTON_OK            | Сховати
MAIN_ADVISOR_SCOUT                | Ага! Наш перший флот готовий. Нумо знайдімо тих, чиї скарби ми заберемо!
MAIN_ADVISOR_TRANSPORT            | Ми здобули нові території на планеті %1. Чим більше ми відправимо транспортів з колонії %3, тим швидше ми знайдемо будь-яку здобич у цьому світі.
MAIN_ADVISOR_DIPLOMACY            | Ми встановили контакт з інопланетною расою! Чи виявляться вони сильними ворогами?.. чи буде легко забрати їх скарби?
MAIN_ADVISOR_SHIP_ENGINE          | Ми знайшли спосіб вдосконалити наші двигуни та зробити наші кораблі ще швидшими! Якщо ми включимо їх в наші креслення кораблів, наші набіги на ворожі планети стануть ще ефективнішими!
MAIN_ADVISOR_RALLY_POINTS         | Хане! Настав час війни! Флоти Ханств готові об'єднатись під вашим керівництвом у встановлених Точках Збору.
MAIN_ADVISOR_MISSILE_BASES        | Колонії зовнішнього кола залишаються незахищеними й вимагають будівництва ракетних баз. Які ваші накази?
MAIN_ADVISOR_SHIP_WEAPON          | Нам вдалося розробити нову потужну зброю! Нові креслення кораблів необхідні для використання її проти наших ворогів.
MAIN_ADVISOR_COUNCIL              | Скоро буде організована зустріч різних імперій Галактиці. Інші держави бачать в цій "Галактичній Раді" можливість дипломатичного співіснування, але ж присутність Мрршан там виявить ворогів, набіги на яких будуть нам вигідними.
MAIN_ADVISOR_REBELLION            | Хане! Як ви себе почуваєте? На планеті %1 почалось повстання, а ваш наказ знищити їх ще не надійшов.
MAIN_ADVISOR_RESIST_COUNCIL       | Невже ж вони вважали, що ми дозволимо їм панувати великими Ханствами Клану Мрршан!? Хане! Сили наших флотів вже готові завойовувати скарби ворогів.
MAIN_ADVISOR_COUNCIL_RESISTED     | Як сміють вони ставити під сумнів ваше правління!? Не має значення! Мрршани правитимуть галактикою навіть, якщо буде необхідно знищити їх усіх. Сильні беруть, слабкі віддають!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ваші скарби отримають інші істоти...#Флоти рейдерів об'єднаних Кланів колись викликали лише страх і жах. Вони вражали мов блискавки - ефективно і швидко. А у своїх набігах ви здобували реліквії тих держав, що пали під силою і хитрістю Мрршан. Але ж ви знайшли того ворога, якого подолати вже не змогли. Чи то через безглуздість? Зарозумілість? Чи, може, ваша жадібність привела вас туди, де ви зараз? Доля дарувала вам багато перемог в минулому, але коли цей ворог пішов у наступ, вас переслідували лише розруха і поразки.#Зараз, коли від Мрршан залишилися лише полонені й невеликі групи повстанців, мало хто повірить, що наближення вашого флоту колись викликало тремтіння. Скоро від вашого народу залишаться лише історії, а, з часом, і вони теж зникнуть. А ваші дорогоцінні скарби, старання поколінь Мрршан, стали лише дрібничками в музеях переможців. Тепер вони вважаються реліквіями минулого...
GAME_OVER_MILITARY_WIN2           | Скарби цієї галактики належать тільки вам!#Сьогодні вся ваша імперія - кожна колонія і кожний Мрршанин на ній, святкували перемогу, яку ви здобули для нього. Цей день - перший в історії, де Клан Мрршан панує усією Галактикою. Те, що колись починалося як прості набіги за здобиччю та славою, з часом перетворилося на повномасштабну кампанію, яка охоплювала планети, зоряні системи та, зрештою, кожну імперію в історії Галактики. Ваша сила і рішучість вела вас в бій; вона знищувала всіх тих ворогів, якими була населена галактика.#Ви не виявляли милосердя, бо ви вважали, що вам не потрібні союзники, бо ви не бачили потреби в політиці чи дипломатії. Але ж час минав, а ваші ідеали не змінювались. І зовсім скоро здобич тисяч планет належала вам, бо ворогів вже не було. Ця галактика нарешті подарувала вам цю найбільшу перемогу! Вже зараз ви плануєте майбутні набіги, бо крім вашої Галактики, є й інші...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Скарби для вас та ваших союзників...#Ваші набіги нарешті привели до перемоги. З часів, коли ви здобули свої перші скарби з планет ворогів, ви так далеко зайшли. Ви вели народ в набіги за набігами й приносили все кращі й кращі трофеї. Ви знищували ворогів, захоплювали планети й привели свій народ в золотий вік. Але ж співіснування вашої гордої бойової культури зі слабкими імперіями було майже неможливе, саме тому зовсім скоро вже не залишилось ворогів... Але це не означає, що ви знищили їх всіх! У численних набігах ви знайшли собі союзників - сильних імперій, які були надійними та лояльними.#У час, коли настав мир, ви згадуєте, як ваші найкращі й найлегендарніші битви були поруч з тими, хто тепер зветься вашим союзником. Разом ви завойовували й ділили скарби. Разом ви перемагали й бенкетували. Разом ви й будете іти до майбутнього... Але ж, всі ті, кого вабить вигляд золота, навіть серед друзів знайдуть, як поживитися. Якщо це приведе до битви з вами, не виявляйте милосердя, бо вони його не заслуговують...
GAME_OVER_COUNCIL_LOSS2           | Ваші набіги та ваш спосіб життя змінився назавжди...#Нарешті об'явилась найбільша загроза для вашої гордої культури... Після десятиліть дослідження космосу та підкорення зірок, імперії галактики, співіснування яких здавалося неможливим, об'єдналися у єдину Нову Республіку. Забувши сварки минулого, представники Галактичної Ради обрали того, хто буде вести Нову Республіку у майбутнє. Але ж цей вибір був трагедією для усіх Мрршан Всесвіту!#Ви докладали зусилля, щоб здатися дипломатичним, але ж інші цивілізації не змогли цього побачити чи зрозуміти. Вони бачили в вас лише того, хто організовував набіги на них, того хто здобував скарби й дбав лише про себе і про свій народ. Це вело лише до недовіри та злості. Тепер ваша репутація знищена, а ваша влада нікчемна. Зовсім скоро вашому народу буде необхідно прийняти нове рішення: атакувати сили об'єднаної галактики в останньому набігу чи пристосуватися до нової жахливої ери. Але ж це вже не рішення, яке прийме колишній Золотий Хан...
GAME_OVER_REBELLION_LOSS2         | Ваші скарби отримають інші істоти...#Ваш золотий вік набігів закінчився, а ваші скарби вже були захоплені! Коли була утворена Нова Республіка з її ненависним лідером [leader_race5], ваша культура, ваш народ вимагали вести повстання проти влади, яка придушила б гордий дух Мрршан. Ви розраховували на допомогу інших імперій, але ж ви побачили, що вони діяли через страх, не повагу. Саме тому ви вели повстання проти усієї Галактики. Саме тому в вас не було допомоги.#А ваші вороги, кожного з яких ви б знищили у чесній битві сам на сам, виступали, об'єднані під прапором Нової Республіки, як єдиний флот. Ваші люди воювали з неймовірною сміливістю та легендарною наполегливістю, але ж це лише затримувало ворогів, які з кожною битвою шли до перемоги, доки в вас вже не було надії... Кінець вже близько і пора переможцям розділяти скарби...
