//  CONTROLENV_6_BRIEF and CONTROLENV_6_NAME readjust the size, please

//
// Armor techs
// 
ARMOR_0_NAME     | Титанова Броня
ARMOR_0_ITEM     | Титан
ARMOR_0_BRIEF    | %1 О.З.
ARMOR_0_DETAIL   | Початкова броня, яка не дає бонусів користувачу.

ARMOR_1_NAME     | Дюралоєва Броня
ARMOR_1_ITEM     | Дюралой
ARMOR_1_BRIEF    | %1 О.З.
ARMOR_1_DETAIL   | Збільшує кількість очок здоров'я космічних кораблів і транспорту на 50%. Використання броні наземними військами також підвищує їх ефективність, додаючи 5 до всіх наземних атак.

ARMOR_2_NAME     | Зортрієва Броня
ARMOR_2_ITEM     | Зортрій
ARMOR_2_BRIEF    | %1 О.З.
ARMOR_2_DETAIL   | Збільшує кількість очок здоров'я космічних кораблів і транспорту на 100%. Використання броні наземними військами також підвищує їх ефективність, додаючи 10 до всіх наземних атак.

ARMOR_3_NAME     | Атецамітова Броня
ARMOR_3_ITEM     | Атецаміт
ARMOR_3_BRIEF    | %1 О.З.
ARMOR_3_DETAIL   | Збільшує кількість очок здоров'я космічних кораблів і транспорту на 150%. Використання броні наземними військами також підвищує їх ефективність, додаючи 15 до всіх наземних атак.

ARMOR_4_NAME     | Тританова Броня
ARMOR_4_ITEM     | Тритан
ARMOR_4_BRIEF    | %1 О.З.
ARMOR_4_DETAIL   | Збільшує кількість очок здоров'я космічних кораблів і транспорту на 200%. Використання броні наземними військами також підвищує їх ефективність, додаючи 20 до всіх наземних атак.

ARMOR_5_NAME     | Адамантієва Броня
ARMOR_5_ITEM     | Адамантій
ARMOR_5_BRIEF    | %1 О.З.
ARMOR_5_DETAIL   | Збільшує кількість очок здоров'я космічних кораблів і транспорту на 250%. Використання броні наземними військами також підвищує їх ефективність, додаючи 25 до всіх наземних атак.

ARMOR_6_NAME     | Нейтронієва Броня
ARMOR_6_ITEM     | Нейтроній
ARMOR_6_BRIEF    | %1 О.З.
ARMOR_6_DETAIL   | Збільшує кількість очок здоров'я космічних кораблів і транспорту на 300%. Використання броні наземними військами також підвищує їх ефективність, додаючи 30 до всіх наземних атак.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Атмосферне Тераформування
ATMOSPHERE_0_DETAIL    | Перетворює вороже середовище на звичайне за 150 Б.К.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Система Автоматичного Ремонту
AUTOREPAIR_0_BRIEF     | Ремонтує 15% О.З. корабля за хід.
AUTOREPAIR_0_DETAIL    | Незруйновані космічні кораблі можуть відновити до 15% своїх очок здоров'я в кінці кожного ходу.

AUTOREPAIR_1_NAME      | Система Контролю Пошкоджень
AUTOREPAIR_1_BRIEF     | Ремонтує 30% О.З. корабля за хід.
AUTOREPAIR_1_DETAIL    | Незруйновані космічні кораблі можуть відновити до 30% своїх очок здоров'я в кінці кожного ходу.

//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Атака Нульового Рівня
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Бойовий Комп’ютер Б.К. I
COMPUTER_1_ITEM    | Б.К. I
COMPUTER_1_BRIEF   | Атака Першого Рівня
COMPUTER_1_DETAIL  | Збільшує точність корабельної зброї до першого рівня.

COMPUTER_2_NAME    | Бойовий Комп’ютер Б.К. II
COMPUTER_2_ITEM    | Б.К. II
COMPUTER_2_BRIEF   | Атака Другого Рівня
COMPUTER_2_DETAIL  | Збільшує точність корабельної зброї до другого рівня.

COMPUTER_3_NAME    | Бойовий Комп’ютер Б.К. III
COMPUTER_3_ITEM    | Б.К. III
COMPUTER_3_BRIEF   | Атака Третього Рівня
COMPUTER_3_DETAIL  | Збільшує точність корабельної зброї до третього рівня.

COMPUTER_4_NAME    | Бойовий Комп’ютер Б.К. IV
COMPUTER_4_ITEM    | Б.К. IV
COMPUTER_4_BRIEF   | Атака Четвертого Рівня
COMPUTER_4_DETAIL  | Збільшує точність корабельної зброї до четвертого рівня.

COMPUTER_5_NAME    | Бойовий Комп’ютер Б.К. V
COMPUTER_5_ITEM    | Б.К. V
COMPUTER_5_BRIEF   | Атака П'ятого Рівня
COMPUTER_5_DETAIL  | Збільшує точність корабельної зброї до п'ятого рівня.

COMPUTER_6_NAME    | Бойовий Комп’ютер Б.К. VI
COMPUTER_6_ITEM    | Б.К. VI
COMPUTER_6_BRIEF   | Атака Шостого Рівня
COMPUTER_6_DETAIL  | Збільшує точність корабельної зброї до шостого рівня.

COMPUTER_7_NAME    | Бойовий Комп’ютер Б.К. VII
COMPUTER_7_ITEM    | Б.К. VII
COMPUTER_7_BRIEF   | Атака Сьомого Рівня
COMPUTER_7_DETAIL  | Збільшує точність корабельної зброї до сьомого рівня.

COMPUTER_8_NAME    | Бойовий Комп’ютер Б.К. VIII
COMPUTER_8_ITEM    | Б.К. VIII
COMPUTER_8_BRIEF   | Атака Восьмого Рівня
COMPUTER_8_DETAIL  | Збільшує точність корабельної зброї до восьмого рівня.

COMPUTER_9_NAME    | Бойовий Комп’ютер Б.К. IX
COMPUTER_9_ITEM    | Б.К. IX
COMPUTER_9_BRIEF   | Атака Дев'ятого Рівня
COMPUTER_9_DETAIL  | Збільшує точність корабельної зброї до дев'ятого рівня.

COMPUTER_10_NAME   | Бойовий Комп’ютер Б.К. X
COMPUTER_10_ITEM   | Б.К. X
COMPUTER_10_BRIEF  | Атака Десятого Рівня
COMPUTER_10_DETAIL | Збільшує точність корабельної зброї до десятого рівня.

COMPUTER_11_NAME   | Бойовий Комп’ютер Б.К. XI
COMPUTER_11_ITEM   | Б.К. XI
COMPUTER_11_BRIEF  | Атака Одинадцятого Рівня
COMPUTER_11_DETAIL | Збільшує точність корабельної зброї до одинадцятого рівня.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Бронежилети
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Нанокостюми
BATTLESUIT_1_DETAIL  | Броня, яка не тільки краще захищає, а й покращує силові можливості носія. Додає 10 до всіх наземних атак.

BATTLESUIT_2_NAME    | Броньовані Екзоскелети
BATTLESUIT_2_DETAIL  | Броня, яка не тільки краще захищає, а й забезпечує високу мобільність, вертикальні можливості та навіть обмежений політ. Додає 20 до всіх наземних атак.

BATTLESUIT_3_NAME    | Силова Броня
BATTLESUIT_3_DETAIL  | Поєднує високу мобільність, можливість антиграв політу та важку броньовану обшивку, щоб сформувати найдосконалішу броню. Додає 30 до всіх наземних атак.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Пристрій Фокусу Енергії
BEAMFOCUS_0_BRIEF   | Додає +3 до дальності енергетичної зброї
BEAMFOCUS_0_DETAIL  | Збільшує дальність стрільби всієї енергетичної зброї космічного корабля на три.

BEAMFOCUS_1_NAME    | Мультипризматичний Інтерфейс
BEAMFOCUS_1_BRIEF   | Концентрує проміні енергетичної зброї, вдвічі зменшує щит ворога
BEAMFOCUS_1_DETAIL  | Комбінує усі проміні енергетичної зброї в один руйнівний удар, чим зменшує вдвічі сили щита ворога.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Антидот Біотоксинів
BIOANTIDOTE_0_DETAIL  | Знижує втрати від біологічної зброї на 1 мільйон істот за атаку.

BIOANTIDOTE_1_NAME    | Універсальний Антидот
BIOANTIDOTE_1_DETAIL  | Знижує втрати від біологічної зброї на 2 мільйони істот за атаку.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Смертельні Спори
BIOWEAPON_0_BRIEF    | Біологічна Зброя
BIOWEAPON_0_DETAIL   | Страшна біологічна зброя, здатна зменшувати населення планети на 1 мільйони за атаку.

BIOWEAPON_1_NAME     | Передові Рикетсії
BIOWEAPON_1_BRIEF    | Біологічна Зброя
BIOWEAPON_1_DETAIL   | Жахлива біологічна зброя, здатна зменшувати населення планети на 2 мільйони за атаку.

BIOWEAPON_2_NAME     | Біоруйнівник
BIOWEAPON_2_BRIEF    | Біологічна Зброя
BIOWEAPON_2_DETAIL   | Кошмарна біологічна зброя, здатна зменшувати населення планети на 3 мільйони за атаку.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Генератор Чорних Дір
BLACKHOLE_0_DETAIL   | Створює підкосмічне поле, яке викривлює звичайний простір, створюючи чорну діру, яка знищує від 25% до 100% ворожих кораблів / ракетних баз, зменшується на 2% за кожен рівень класа щитів.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Ядерна бомба
BOMB_0_BRIEF    | Тільки для бомбардування
BOMB_0_DETAIL   | Бомба, яка завдає 3-12 очок уражень наземним цілям.

BOMB_1_NAME     | Термоядерна бомба
BOMB_1_BRIEF    | Тільки для бомбардування
BOMB_1_DETAIL   | Бомба, яка завдає 5-20 очок уражень наземним цілям.

BOMB_2_NAME     | Бомба з Антиматерії
BOMB_2_BRIEF    | Тільки для бомбардування
BOMB_2_DETAIL   | Бомба, яка завдає 10-40 очок уражень наземним цілям.

BOMB_3_NAME     | Бомба "Омега-V"
BOMB_3_BRIEF    | Тільки для бомбардування
BOMB_3_DETAIL   | Бомба, яка завдає 20-50 очок уражень наземним цілям.

BOMB_4_NAME     | Бомба з Нейтронію
BOMB_4_BRIEF    | Тільки для бомбардування
BOMB_4_DETAIL   | Бомба, яка завдає 40-70 очок уражень наземним цілям.


//
// Cloaking tech
//
CLOAK_0_NAME     | Пристрій Маскування
CLOAK_0_BRIEF    | Робить корабель майже невидимим
CLOAK_0_DETAIL   | Робить корабель майже невидимим до наступної атаки, збільшуючи його оборону на +5. Корабель повинен зняти маскування для атаки та буде автоматично маскуватися кожен хід, в якій він не атакує.


//
// Cloning tech
//
CLONE_0_NAME     | Клонування
CLONE_0_DETAIL   | Дозволяє вирощувати колоністів: 1 млн за 10 Б.К.

CLONE_1_NAME     | Передове Клонування
CLONE_1_DETAIL   | Дозволяє вирощувати колоністів: 1 млн за 5 Б.К.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Бойові Транспордери
COMBATTRANSPORT_0_DETAIL   | Транспорт, оснащений цим пристроєм, має 50% шансів висадитися на ворожу поверхню, перш ніж ворожі кораблі чи бази ПРО встигнуть відреагувати.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Адаптація Нормального Середовища
CONTROLENV_0_ITEM    | Колоніальна База Стандартних Планет
CONTROLENV_0_BRIEF   | Дозволяє колонізацію нормальних планет
CONTROLENV_0_DETAIL  | Початкова технологія для колонізації найбільш придатних для життя планет.

CONTROLENV_1_NAME    | Адаптація Виснаженого Середовища
CONTROLENV_1_ITEM    | Колоніальна База Виснажених Планет
CONTROLENV_1_BRIEF   | Дозволяє колонізацію виснажених планет
CONTROLENV_1_DETAIL  | Дозволяє колонізацію виснажених і більш придатних планет.

CONTROLENV_2_NAME    | Адаптація Тундрового Середовища
CONTROLENV_2_ITEM    | Колоніальна База Тундрових Планет
CONTROLENV_2_BRIEF   | Дозволяє колонізацію тундрових планет
