//
// Dialogue that is not race-specific
//
// 第一次校对：2021.12.04

DIPLO_TECH_REQUEST_MENU_01   | 你对哪一个技术感兴趣？
DIPLO_TECH_COUNTER_MENU_01   | 你想用来交换什么？
DIPLO_TRADE_MENU_01          | 你提出了贸易协定，数额为：
DIPLO_TREATY_MENU_01         | 你想做什么？
DIPLO_THREATEN_MENU_01       | 你想威胁什么？
DIPLO_DECLARE_WAR_MENU_01    | 你确定要开战吗？
DIPLO_JOINT_WAR_MENU_01      | 我们开战的原因是什么？
DIPLO_BREAK_ALLIANCE_MENU_01 | 我们想破坏与谁的联盟？
DIPLO_OFFER_AID_MENU_01      | 你想要资助什么？
DIPLO_OFFER_TECH_MENU_01     | 你想要提供什么技术？

DECLINE_OFFER_01           | [my_nameTitle][my_name]拒绝了。
DECLINE_OFFER_02           | [my_race]考虑了你的提议，并拒绝了。
DECLINE_OFFER_03           | 我们恭敬地拒绝您的提议。
DECLINE_OFFER_04           | 我们目前不感兴趣。
DECLINE_OFFER_05           | [my_race]认为您的提议不公平。
DECLINE_OFFER_06           | 此时接受你方的提议不符合我们的最佳利益。
DECLINE_OFFER_07           | 也许你把我们误认为是容易上当的傻瓜了，我们拒绝你的提议。
DECLINE_OFFER_08           | 你的提议看起来并不公平。
DECLINE_OFFER_09           | 我们恐怕要拒绝您的提议。

DECLINE_ENEMY_ALLY_01      | [my_race]永远不会与可恶的[other_race]的盟友做交易。
DECLINE_ALREADY_ALLIED_01  | 只要你仍然与其他帝国结盟，[my_race]和我的盟友就不会考虑你的请求。
DECLINE_NO_WAR_ON_ALLY_01  | 我们不会向自己的盟友宣战。
DECLINE_PEACE_TREATY_01    | 我们不会破坏自己与[other_race]的和平协议。
DECLINE_ANNOYED_01         | [your_race]是满嘴空话而缺乏行动的生物，我们厌倦了你们的胡言乱语。
DECLINE_ANNOYED_01         | [your_name][your_nameTitle]，你正在考验我们的耐心。也许你应该晚点再找我们聊。
DECLINE_ANNOYED_01         | [my_name][my_nameTitle]已经听够了，我们以后再聊吧。
DECLINE_ANNOYED_02         | 我们已经厌倦了外交谈判。以后再沟通吧。
DECLINE_ANNOYED_02         | 这些谈话不会有结果。我们先告辞了。
DECLINE_ANNOYED_02         | 告辞。
DECLINE_ANNOYED_03         | [your_name][your_nameTitle]，非常抱歉，我们有更重要的任务要完成。
DECLINE_ANNOYED_03         | 请原谅，我们的时间到了。
DECLINE_ANNOYED_03         | 我们时间有限，任务繁多。也许以后我们可以再沟通。

DECLINE_OATHBREAKER_01     | 因为你以前曾破坏过协议，我们不愿意再跟你订立协议了。
DECLINE_OATHBREAKER_01     | 你没有遵守你过去的协议。我们看不出有什么理由相信你。
DECLINE_OATHBREAKER_01     | 你违反了那么多过去的协议，我们为什么要相信你呢?
DECLINE_OATHBREAKER_01     | 我们看不出有什么理由去信任一个没有兑现过去承诺的人。 
DECLINE_OATHBREAKER_01     | 我们不会与没有荣誉感的[your_race]打交道。
DECLINE_ESPIONAGE_01       | 你们这些偷东西的狗，你们偷走了我们的研究成果。我们拒绝你们的请求。
DECLINE_ESPIONAGE_01       | 我们的技术是为[my_race]种族服务的。你没有权利偷走它。等你什么时候停止偷窃了，我们再对话。
DECLINE_ESPIONAGE_01       | 为什么我们要给你东西呢？你们的间谍已经偷走了所有你们需要的东西！
