// race-specific variables (must start with _)
_empire                    | 硅帝国, 火岩帝国, 赛德米德帝国, 花岗岩帝国, 岩浆帝国
_race                      | 硅人, 火岩人, 赛德米德人, 花岗岩人, 岩浆人
_race_plural               | 硅人, 火岩人, 赛德米德人, 花岗岩人, 岩浆人
_title                     | 水晶皇帝
_nameTitle                 | 水晶皇帝

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// 第1次校对：2021.12.18


// Advisor text
MAIN_ADVISOR_TITLE         | 硅人顾问
MAIN_ADVISOR_BUTTON_OK     | 好的
MAIN_ADVISOR_SCOUT         | 神皇，您的侦察机已经准备好探索附近的任何一个殖民地！请下命令！
MAIN_ADVISOR_TRANSPORT     | %1的殖民地已经以您的名义建立，强大的皇帝！如果您需要我们派遣更多殖民者以支持新殖民地，请下命令！
MAIN_ADVISOR_DIPLOMACY     | 神皇！一个来自外星帝国的使者出现在了王座前！这可能就是我们在寻找的死敌！我们要小心翼翼地跟他打交道！
MAIN_ADVISOR_SHIP_ENGINE   | 您的科学家已经完成了新的引擎！只能您确定了新的舰船设计方案，他们就会把新引擎安装上去。
MAIN_ADVISOR_RALLY_POINTS  | 我们的圣战终于开始了，神皇！请设置集结点，将您的舰船派往任何一个你所控制的世界，它们将保证敌人的灭亡！
MAIN_ADVISOR_MISSILE_BASES | 您的将军建议在容易受到攻击的殖民地建立导弹基地！如果您同意，神皇，建造会立刻开始！
MAIN_ADVISOR_SHIP_WEAPON   | 神皇！您的科学家报告了他们研发的最新武器！只能您下令，我们将在新的飞船上使用这些武器！
MAIN_ADVISOR_COUNCIL       | 一场被称为星际委员会的会议即将来临！我们的宿敌肯定隐藏在聚集在那里的人中！我们必须揭露他们，这样我们崇高的圣战才能真正开始！
MAIN_ADVISOR_REBELLION     | 强大的皇帝！难以想象的事情发生了。我们的人民，无疑受到了邪恶宿敌的蛊惑，选择在%1行星发动了叛乱。我们必须立刻把他们消灭！
MAIN_ADVISOR_RESIST_COUNCIL   | 这些愚蠢的人啊！神皇，我们的舰队已经准备就绪！带领我们走向战场的胜利吧！
MAIN_ADVISOR_COUNCIL_RESISTED | 我们敌人的后代当然不能接受[my_race]的统治！我们的人民陷入了疯狂：预言终于应验了！


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你的圣战已经惨淡收场。#长寿的硅帝国中的每一个世界都被征服，更糟糕的是，他们是被奇怪的外星生物所征服。作为水晶皇帝，你承诺带领你的人民实现他们最古老、最神圣的预言：一劳永逸地清除银河系里邪恶的克拉隆后代。结果，你只是让他们走向毁灭，随着太阳从最后一个抵抗外星侵略者的硅人殖民地升起，留在这个星系中的帝国很快就会感受到你失败的严重程度。#帝国已被永远消灭。随着你的人民消失，毫无疑问，克拉隆人邪恶的后代将统治这个宇宙，从现在起，直到到时间的尽头……
GAME_OVER_MILITARY_WIN2           | 你的圣战以至高无上的胜利结束！#因为无法确认你最古老敌人的身份，你选择了唯一可用的方案：无情地屠杀所有居住在这个银河系中的人。没有哪个种族能够证明自己比你不屈不挠的热情和不屈不挠的力量更胜一筹。每个种族都依次倒下，他们的世界现在已经从从任何可能的克拉隆污秽种解脱。为了确保它们保持清洁，帝国将把每一个星球都纳入其中，占有并保护它们直到时间的尽头。#你的帝国现在无疑将永远持续下去，没有人会再次反对你，因为确实没有人了！水晶皇帝万岁！帝国万岁！
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 你的圣战终于收获了果实。#虽然你无法确定克拉隆之子的真实身份，但一些居住在银河系中的人能够证明自己不太可能成为你最讨厌的敌人的后裔。那些做不到这一点的人，最终的命运是倒在你坚不可摧的舰队手下。现在剩下的就是你和那些表现出忠诚和纯洁的文明，银河系是你的，你可以随意处理。#唉，如果你对那些你允许活着的人的身份有误判的话，你的圣战可能有一天需要重新开始……
