

//
// Armor techs
// 
// 第1次校对：2021.12.14

ARMOR_0_NAME     | 钛装甲
ARMOR_0_ITEM     | 钛
ARMOR_0_BRIEF    | 护甲值%1
ARMOR_0_DETAIL   | 入门装甲技术。对飞船装甲或地面部队没有增益。

ARMOR_1_NAME     | 合金装甲
ARMOR_1_ITEM     | 合金
ARMOR_1_BRIEF    | 护甲值%1
ARMOR_1_DETAIL   | 飞船护甲值增加50%。地面部队的装甲+5。

ARMOR_2_NAME     | 锆装甲
ARMOR_2_ITEM     | 锆
ARMOR_2_BRIEF    | 护甲值%1
ARMOR_2_DETAIL   | 飞船护甲值增加100%。地面战斗的装甲+10。

ARMOR_3_NAME     | 瑞钢装甲
ARMOR_3_ITEM     | 瑞钢
ARMOR_3_BRIEF    | 护甲值%1
ARMOR_3_DETAIL   | 飞船护甲值增加150%。地面战斗的装甲+15。

ARMOR_4_NAME     | 三钛装甲
ARMOR_4_ITEM     | 三钛
ARMOR_4_BRIEF    | 护甲值%1
ARMOR_4_DETAIL   | 飞船护甲值增加200%。地面战斗的装甲+20。

ARMOR_5_NAME     | 精金装甲
ARMOR_5_ITEM     | 精金
ARMOR_5_BRIEF    | 护甲值%1
ARMOR_5_DETAIL   | 飞船护甲值增加250%。地面战斗的装甲+25。

ARMOR_6_NAME     | 中子装甲
ARMOR_6_ITEM     | 中子
ARMOR_6_BRIEF    | 护甲值%1
ARMOR_6_DETAIL   | 飞船护甲值增加300%。地面战斗的装甲+30。


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | 大气改造
ATMOSPHERE_0_DETAIL    | 花费150BC，把恶劣环境改变为正常环境

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | 自动修理系统
AUTOREPAIR_0_BRIEF     | 每回合修复飞船15%的护甲值
AUTOREPAIR_0_DETAIL    | 未被击毁的飞船能在回合结束时回复15%的护甲值

AUTOREPAIR_1_NAME      | 高级自动修理系统
AUTOREPAIR_1_BRIEF     | 每回合修复飞船30%的护甲值
AUTOREPAIR_1_DETAIL    | 未被击毁的飞船能在回合结束时回复30%的护甲值


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | 进攻等级0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | 制导系统1
COMPUTER_1_ITEM    | 型号1
COMPUTER_1_BRIEF   | 进攻等级1
COMPUTER_1_DETAIL  | 将武器精准度提高到等级1。

COMPUTER_2_NAME    | 制导系统2
