//
// Dialogue that is not race-specific
//
// 第一次校對：2021.12.04

DIPLO_TECH_REQUEST_MENU_01   | 你對哪一個技術感興趣？
DIPLO_TECH_COUNTER_MENU_01   | 你想用來交換什麼？
DIPLO_TRADE_MENU_01          | 你提出了貿易協定，數額爲：
DIPLO_TREATY_MENU_01         | 你想做什麼？
DIPLO_THREATEN_MENU_01       | 你想威脅什麼？
DIPLO_DECLARE_WAR_MENU_01    | 你確定要開戰嗎？
DIPLO_JOINT_WAR_MENU_01      | 我們開戰的原因是什麼？
DIPLO_BREAK_ALLIANCE_MENU_01 | 我們想破壞與誰的聯盟？
DIPLO_OFFER_AID_MENU_01      | 你想要資助什麼？
DIPLO_OFFER_TECH_MENU_01     | 你想要提供什麼技術？

DECLINE_OFFER_01           | [my_nameTitle][my_name]拒絕了。
DECLINE_OFFER_02           | [my_race]考慮了你的提議，並拒絕了。
DECLINE_OFFER_03           | 我們恭敬地拒絕您的提議。
DECLINE_OFFER_04           | 我們目前不感興趣。
DECLINE_OFFER_05           | [my_race]認爲您的提議不公平。
DECLINE_OFFER_06           | 此時接受你方的提議不符合我們的最佳利益。
DECLINE_OFFER_07           | 也許你把我們誤認爲是容易上當的傻瓜了，我們拒絕你的提議。
DECLINE_OFFER_08           | 你的提議看起來並不公平。
DECLINE_OFFER_09           | 我們恐怕要拒絕您的提議。

DECLINE_ENEMY_ALLY_01      | [my_race]永遠不會與可惡的[other_race]的盟友做交易。
DECLINE_ALREADY_ALLIED_01  | 只要你仍然與其他帝國結盟，[my_race]和我的盟友就不會考慮你的請求。
DECLINE_NO_WAR_ON_ALLY_01  | 我們不會向自己的盟友宣戰。
DECLINE_PEACE_TREATY_01    | 我們不會破壞自己與[other_race]的和平協議。
DECLINE_ANNOYED_01         | [your_race]是滿嘴空話而缺乏行動的生物，我們厭倦了你們的胡言亂語。
DECLINE_ANNOYED_01         | [your_name][your_nameTitle]，你正在考驗我們的耐心。也許你應該晚點再找我們聊。
DECLINE_ANNOYED_01         | [my_name][my_nameTitle]已經聽夠了，我們以後再聊吧。
DECLINE_ANNOYED_02         | 我們已經厭倦了外交談判。以後再溝通吧。
