// 第1次校對：2021.12.15

// race-specific variables (must start with _)
_empire                           | 熊族帝國, 熊拉提帝國, 大熊帝國, 熊爪帝國, 灰熊帝國
_race                             | 熊族, 熊拉提族, 大熊族, 熊爪族, 灰熊族
_race_plural                      | 熊族, 熊拉提族, 大熊族, 熊爪族, 灰熊族
_title                            | 大祭司
_nameTitle                        | 大祭司


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 熊族顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 大人，我們已經準備好了偵察機和殖民飛船。我們將在您的指揮下開始探索和殖民附近的星系。
MAIN_ADVISOR_TRANSPORT            | %1加入了帝國的版圖！請下命令吧，我們將立刻派遣殖民者！
MAIN_ADVISOR_DIPLOMACY            | 大人，一個外星種族與我們的帝國取得了聯繫。將他們視爲朋友還是敵人，完全由您自行決定。
MAIN_ADVISOR_SHIP_ENGINE          | 我們的科學家持續推動着技術的極限，這一次他們提高了發動機的速度。他們等待您對新的船舶設計做出決定。
MAIN_ADVISOR_RALLY_POINTS         | 一場光榮的戰鬥等待着我們！請使用集結點，讓新建造的飛船到在集結點集合。
MAIN_ADVISOR_MISSILE_BASES        | 我們的殖民地等待您的命令，大人。開始建造導彈基地吧，幫助他們抵禦敵人的攻擊。
MAIN_ADVISOR_SHIP_WEAPON          | 研究人員爲我們的艦隊創造了毀滅性的新武器！大人，請在您有空的時候重新審視我們的飛船設計，以決定我們的敵人將如何在我們壓倒性的力量面前屈服。
MAIN_ADVISOR_COUNCIL              | 大人，第一屆星際委員會的代表將很快聚集。我們的外交官將遵循您的指示，以確保委員會的決定符合您的利益。
MAIN_ADVISOR_REBELLION            | 看來%1的人已經決定公然違抗您了，大人。是時候提醒他們爲什麼由您來領導帝國了！
MAIN_ADVISOR_RESIST_COUNCIL       | 只有您才能坐上銀河系的寶座！在您取得應有的位置之前，我們不會壓抑我們的嗜血慾望，大人！
MAIN_ADVISOR_COUNCIL_RESISTED     | 哈哈！這些人愚蠢到想要反對我們的統治。無論如何，這些小叛軍都會被我們踩在腳下！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 帝國的怒火已經熄滅。#你們人民的憤怒不足以抵抗不斷增長的外星軍事力量。儘管你們奮戰到最後一名士兵，但熊族的歷史篇章現在已經結束。曾經你是一個強大帝國的大主教，一個自豪的戰士哲學家種族的領導者。他們將目光投向星星，尋找自己在宇宙中的位置，並與那些敢於反對它們的人進行對抗。現在你只是宇宙編年史中的一個名字，勝利者只會以這樣的方式纔會屈尊記住你。#也許，如果你知道等待你的人民的是什麼，你就不會如此熱切地衝向太空了。現在，你和你的人民所得到的，只有你那不幸的野心和糟糕執行的計劃所帶來的塵埃……
GAME_OVER_MILITARY_WIN2           | 帝國的怒火至高無上！#你現在已經實現了對每一個擊敗所有已知帝國的全面勝利。他們愚蠢地認爲他們有能力對抗你的軍事力量，結果卻發現他們的艦隊已經支離破碎，他們的人民四散奔逃，等待他們的是一個可恥的結局。他們難道沒有意識到你心中的怒火嗎？難道他們沒有發現你的信念如此堅韌嗎？現在沒關係了，因爲勝利者不需要關心失敗者的想法。現在沒有人可以挑戰這樣一個事實：你打敗了所有擋在你面前的人。#很久以前，你的人民開始尋找他們在這個宇宙中的位置，你向他們展示了他們註定要統治整個銀河系。勝利萬歲，大主教！熊族帝國萬歲！
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 現在沒有人敢挑戰你的怒火。#作爲熊族帝國的大主教，你最大的擔憂是：你在太空中遇到的那些人與你對未來的願景格格不入，最終他們需要被摧毀。事實上，他們中的許多人證明了這種擔憂是合理的，儘管他們都躺在了你爲宇宙開拓的血腥道路之下。但是你已經找到了振作起來的理由，因爲並不是你遇到的所有事情都如此令人不快，在這段漫長而動盪的旅程結束時，你找到了有能力的盟友。#也許，最終，你找到了更好的東西：你要與其他人分享這個宇宙。世界的恩賜是豐富的，你會在未來幾個世紀裏思考那些指導你盟友的哲學，當然，前提是他們仍然保持忠誠……
GAME_OVER_COUNCIL_LOSS2           | 帝國的怒火被熄滅了。#沒有人可以用怯弱來形容你的努力。你的人民冒着巨大的危險，在宇宙深處擴張，爲帝國佔領新的世界。不行的是，你的力量並不足以抗衡外星種族的技術創新和外交手腕。你看不到戰勝星際委員會的可能，於是你只能做出那個唯一的選擇：服從新共和國的領導人，防止一場會給你和整個帝國帶來厄運的戰爭。#雖然你的戰士遭到了沉重的精神打擊，但你知道自己的決定是正確的。至少，隨着宇宙進入新的時代，你保證了你的人民的生存。任何另外的選項，都意味着無法想象的厄運……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 帝國的怒火畏縮了。#自從你帶領你的人民離開他們的家園，希望幫助他們在銀河系中找到自己的位置以來，發生了很多事情。你的勝利爲你的人民帶來了很多好處，許多土地被併入帝國的領土，以確保熊族有一個光明的未來。不幸的是，領導新共和國的終極獎勵離你太遠了，你在戰場上的兇猛可能會激起太多的恐懼，讓你無法實現你追求的目標。#但你沒有完全失敗：一個值得信賴的盟友將代替你領導委員會。他成功地說服其他帝國他們對未來的看法是正確的。雖然您的人民渴望將您視爲這個新未來的統治者，但您知道您已經很好地選擇了您的盟友：與%8一起，無論未來如何，您都將確保您的人民在這個星系中佔有一席之地……
GAME_OVER_REBELLION_LOSS2         | 帝國的憤怒被熄滅了。#這個宇宙的戰爭已經結束。你的人民在其他帝國中以前所未有的怒火進行了艱苦的戰鬥，但最終他們的勝利可能是你失敗的原因。你的人民的殘暴戰鬥展示了你的特質。一個敵人被賦予了新共和國的管理權，因爲他們讓議會成員相信你太野蠻了，不值得信任。當%8銀河系，除了拖延不可避免的事情之外，你別無他法。#熊族帝國最終在敵人面前倒下。你的領土被勝利者瓜分，你的遺蹟和城市被粉碎成塵土，散落在歷史的風中。你人民的英勇的最後一戰，不太可能激起繼承者後裔的恐懼。畢竟，勝利者最終決定歷史將講述什麼樣的故事……
GAME_OVER_REBELLION_WIN2          | 帝國的憤怒至高無上！#你終於來到了命運會帶領你的地方：所有其他種族的徹底毀滅！你無與倫比的狂怒對你的敵人來說是無可抵抗的，他們膽怯地尋求與你結盟。他們希望他們的聯合力量足以摧毀你，他們像害蟲一樣在羣星間疾馳，企圖將你的世界燒成灰燼。持有這種想法的人是愚蠢的，你已經向他們展示了他們的野心是多麼徒勞。#看哪，大主教，一個屬於你們的銀河系。您的人民將在無人反對的情況下收穫無數星球的財富。當你擁有了這個星系所能提供的一切之後，你就可以將你的力量引導到更遠的星系……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 現在沒有人敢挑戰你的憤怒。#太陽從新共和國的餘燼中升起，你佔據了你從一開始就應該佔據的位置。你以前的敵人一旦聯合起來會如何行動是昭然若揭的，因爲他們對你的恐懼如此之大，以至於他們在對你的力量的偏執中團結起來。你的反抗是正義的，因爲這樣一個偉大的戰士種族像傻瓜一樣卑躬屈膝和懇求是不可能的。你甚至說過，反對你的人，不管有多少，都只有厄運。如果那些傻瓜能聽到你的話就好了！#然而，你並非沒有憐憫。那些足夠聰明與你結盟的人將享受美好未來的果實，他們的勇敢和智慧將在你的新帝國中得到尊重。他們是您仁慈的見證，他們再也不會畏懼任何敵人，當然，只要他們保持對熊族帝國的忠誠……
