// 第1次校對：2021.12.15

// race-specific variables (must start with _)
_empire                           | 幽靈國, 薩洛克斯, 斯派洛克, 沙德洛克斯, 納茲洛克
_race                             | 幽靈族, 薩洛克斯族, 斯派洛克族, 沙德洛克斯族, 納茲洛克族
_race_plural                      | 幽靈族, 薩洛克斯族, 斯派洛克族, 沙德洛克斯族, 納茲洛克族
_title                            | 統治者
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | 幽靈族顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 我們已經完成了一對偵察機和一艘殖民飛船的建造。讓我們祈禱我們尋求的答案會出現在附近的星球上。
MAIN_ADVISOR_TRANSPORT            | %1行星上沒有我們要找的答案。但我們仍然應該儘可能地派遣更多人員到新的行星上，讓它快速發展。
MAIN_ADVISOR_DIPLOMACY            | 這個行星的原住民代表揭示了自己的存在。我們必須盡我們所能去了解他們擁有的任何答案。

MAIN_ADVISOR_SHIP_ENGINE          | 我們發現了一種生產更高效引擎的方式。關於如何更新我們的飛船設計以利用這項新科技，我們需要達成一致。
MAIN_ADVISOR_RALLY_POINTS         | 不可避免的衝突出現了！我們的艦船工廠可以將新造的飛船派往一個指定的集結點，在那個星球我們的艦隊可以集結起來抵禦外敵。
MAIN_ADVISOR_MISSILE_BASES        | 來到這個世界時，我們已經損失了太多東西，我們不能損失更多了。請在我們的殖民地建造導彈基地吧，越多越好，讓他們能保衛自己。
MAIN_ADVISOR_SHIP_WEAPON          | 我們發現了可以提高艦船進攻能力的新技術。我們必須再次決定如何更新我們的船舶設計，以儘快利用這個新技術。
MAIN_ADVISOR_COUNCIL              | 傳聞一個叫做星際委員會的集會即將召開。情報部門認爲這是一個獲取儘可能多情報的機會。種族的未來指望這次會議了。
MAIN_ADVISOR_REBELLION            | %1的人瘋掉了嗎？他們忘了只有團結一致我們才能控制這個宇宙！我們必須拿這些反賊開刀，以儆效尤！
MAIN_ADVISOR_RESIST_COUNCIL       | 我們的成功率本來就非常低。跟星際委員會及其成員戰鬥，也不會讓我們的成功率更低了。
MAIN_ADVISOR_COUNCIL_RESISTED     | 我們爲了說服這些蠢貨屈從於我們的利益已經花費了太多的時間。對我們領導的反抗是不可容忍的！立刻消滅他們！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你的追求結束了，你的種族結束了……#一場難以想象的悲劇降臨在你的帝國身上。你的祖先爲什麼會將你們從那個瀕死的宇宙中扔到這個新世界呢？你們種族迫切地想要揭開這個祕密。但遠比你們強大得多的文明將你們徹底地打敗。如果他們知道你的困境，他們可能會更加仁慈，甚至可能會向您提供幫助，或者至少對您用來達到目的的手段更加寬容。然而，當強者向他們命中註定的未來進軍時，你只能接受自己的失敗#哎，幽靈族，接受這個厄運吧！如果你以不同的方式出牌，你的人民可能還活着，甚至可能已經找到了那把鑰匙，將你的種族帶入更新、更穩定位面的鑰匙。不過，也許你沒有更好的出牌方式了：也許命運決定給你一手最不幸的牌……
GAME_OVER_MILITARY_WIN2           | 第一階段結束，真正的考驗開始了……#這個宇宙是您的！正如你們的人民統治了他們來自的宇宙一樣，你們也粉碎了這個星系中微弱的反對派，並證明宇宙中的一切都是你們的。事實證明，您的計謀太強大，您的敵人無法匹敵，而您爲獲取他們的祕密而採用的情報戰術更是讓他們難以招架。現在，當敵人最後的據點在您的力量之下被摧毀時，您可以眺望散落在宇宙中的星星，這將成爲幽靈族的永久家園。#但您的工作還沒有接近完成。您已經學會了如何在這個位面中生活，並讓整個銀河系保持安全，讓您的人民在其中繁衍。然而，最初將你們的種族帶到這裏的時空裂隙的祕密尚未被揭開，在這裏度過的每一天都意味着你們的家園宇宙更接近於它不可避免的崩潰。如果被您摧毀的任何帝國已經掌握了打開時空裂隙的祕密，您的軍事征服所導致的可能是您的自己的毀滅……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 第一階段結束，真正的考驗開始了……#現在是你第一個真正的勝利時刻！當你們的人民被扔進這個空間時，他們發現它很可怕、陌生和危險。但他們沒有畏縮並竭盡全力維持生計，他們大膽地向前邁進，發誓要掌握這個星系的祕密，並確保將其餘的人從他們垂死的位面帶回來。一路上，你們碰到了敵人，也有了盟友，他們爲幽靈族最大的挑戰搭建了舞臺。#與你的盟友一起，你成功地毀滅了那些反對你的人。現在只剩下你和你的親密朋友。通過分享戰爭的戰利品，你們建立了密切的關係。你會很高興地幫助你的盟友減輕他們的負擔，就像他們會幫助你一樣。一旦你的人民安全地跨越次元，你真正的帝國將重生，只有那些證明自己忠於你事業的人才能生活在你的宇宙中……
GAME_OVER_COUNCIL_LOSS2           | 你的計謀挫敗了，你的使命破滅了……#你的計劃已經暴露在銀河系中，雖然沒有人在陰謀詭計上能比得上你，但事實證明，你的對手的眼睛太警惕了，你無法規避他們的審視。隨着新共和國的建立和銀河系未來的確定，委員會的投票毫無疑問會破壞你精心佈置的計劃。未來屬於[leader_race]種族！#獲得駕馭銀河系的權力，這是一個雄心勃勃的目標。如果你的外交陰謀更加精妙，很可能整個銀河系的意志都願意爲你服務。現在你將不得不服從[leader_race]種族的意志。每一天的流逝，都讓那些被困在即將崩潰的宇宙中的族人們離毀滅更近一天……
GAME_OVER_REBELLION_LOSS2         | 你的追求結束了，你的種族結束了……#自從你到達這個不受歡迎的位面以來，運氣從未眷顧過你的人民。當你被拋到一個你的計謀都無法正常運行的維度時，它對你就是不利的。當這個宇宙的本地居民投票反對你領導新共和國時，這對你也是不利的。而現在，在所有事情的最後，當你與對手作戰時，你不僅要獲得銀河系的領導權，而且要確保你的生存，這對你更是不利的。#你的人民頑強、強大、堅定，但他們爲了勝利付出的努力和決心仍然不足以對抗新共和國強大的軍隊。你的勇敢值得紀念：沒有人可以否認這點。但是當你的最後一支軍隊和你的星球落入敵人手中時，你破碎的帝國被打敗了，你們很快就會被遺忘……
GAME_OVER_REBELLION_WIN2          | 第一階段結束，真正的考驗開始了……#現在這些低等蠢貨終於看到了你的力量，你的力量釋放了出來！你的敵人徒勞地試圖阻止你，他們使用一切陰謀詭計，阻止你將被困的族人從他們的厄運中解救出來。從威脅到間諜活動到公開的敵意，當他們投票反對你領導新共和國時，他們對你的阻礙達到了頂峯，儘管你是最值得領導新共和國的人。你幾乎沒有選擇，毫無愧疚地，你向他們釋放了可怕的憤怒，這終於讓你的人民能在未來的宇宙中佔據主導地位。#現在這個星系是你的，雖然只是暫時的。但你的家鄉位面崩潰之前留下來的族人，命運比死還要慘，至少現在這個空間已經沒有人反對你了。現在這些低等的傻瓜終於看到了你爆發的力量和意志！也許他們會看到吧，如果他們中的任何一個能活下來的話……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 第一階段結束，真正的考驗開始了……#從一開始你就知道這個星系的居民不會接受你領導一個統一的帝國聯盟。他們既不誠實和也不信任你，居住在這個位面的本土帝國竭盡全力挫敗你的計劃，並在新共和國成立時興高采烈地投票反對你。但你很聰明，很狡猾，你看穿他們的陰謀就像閱讀一頁紙上的文字一樣容易。你的外交努力只集中在那些最值得站在你身邊的人身上。當你的敵人認爲他們陷害你的時刻到來時，他們發現自己陷入了一個早已存在的陷阱。#現在你和你的盟友取得了最終的勝利。銀河系的命運掌握在你的手中，因爲你可以自由地找到一種方法，讓你滯留的親屬跨越位面障礙，進入一個成熟的新宇宙。如果你選爲盟友的人妨礙你實現你的目標，你會像對待其他人一樣果斷地對待他們……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 第一階段結束，真正的考驗開始了……#很久以前，你們的一小部分人從他們垂死的宇宙中被扔出來，被推入了這個新的位面。當你開始尋找方法將那些滯留的人帶到這個新的穩定的星系時，你與那些已經居住在這些恆星中的人的相遇很快告訴你，在你進行着持久的戰爭時，你將無法找到你想要的答案。於是，你試圖在陰影中操縱歷史進程，現在這些計劃終於實現了。#[leader_race]種族已經掌握了新共和國，他們已經證明了自己的可塑性，他們接受你的設計和你的參謀。作爲知己和顧問，你的人民處於獨特的位置，可以在你的盟友的領導下掌控宇宙本身的力量。如果事情失敗，因爲你與權力相距甚遠，你不會感受到強烈的反對。如果你成功了，你失散已久的族人的到來將給你足夠的力量，讓你足以開始一個新的時代，甚至獲得壓倒性的優勢……
GAME_OVER_COUNCIL_WIN2            | 第一階段結束，真正的考驗開始了……#當你作爲新共和國的領袖開始統治時，議會廳爆發出歡呼聲。你謙卑地接受星際委員會賦予你的管理職責，你知道這是一個長期制定的計劃的結果。在你們的人民抵達這個位面並瞭解它的奧祕後不久，你們就知道，單靠你們是不可能找到解決方法的。讓你們被困的兄弟姐妹們能夠在他們的宇宙完全崩潰之前踏上通往這個位面的旅程，並不容易。現在，經過多年的外交和政治操縱，你快要達到目標了。#現在，這個星系是你的，你可以塑造和引導你認爲最好的路線。你很快就會利用你盟友的技術、力量和創新來幫助你打開一個通往家園的大門，並與儘可能多的人一起在這裏重建你的文明。如果有人敢於阻止你，你現在有了新共和國的軍隊來一勞永逸地粉碎他們的異議……
