// 第1次校對：2021.12.18
// race-specific variables (must start with _)
_empire                           | 蜥蜴王國, 爬行王國, 索拉王國, 拉普託王國, 提拉那王國
_race                             | 蜥蜴族, 爬行族, 索拉族, 拉普托拉族, 提拉那族
_race_plural                      | 蜥蜴族, 爬行族, 索拉族, 拉普托拉族, 提拉那族
_title                            | 最高長官
_nameTitle                        | 最高長官

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 蜥蜴族顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 終於，我們可以淨化其他世界的環境了。最高長官，請儘快派遣偵察機和殖民飛船去附近的星球吧！
MAIN_ADVISOR_TRANSPORT            | 我們終於在一個新的世界創造了第一個殖民地。只要您派遣一個運輸機，我們就可以增加%1的人口數量，並儘快發現當地的祕密！
MAIN_ADVISOR_DIPLOMACY            | 另一個掌握了星際旅行技術的種族與我們取得了聯繫。讓我們與他們對話，看看他們如何治理他們的星球。然後我們會知道如何與他們打交道。
MAIN_ADVISOR_SHIP_ENGINE          | 我們已經設計了一個比當前所有的引擎都更高效的引擎。讓我們儘快設計出新的艦船方案吧。
MAIN_ADVISOR_RALLY_POINTS         | 我們的鄰居似乎對我們不太……滿意。我們可以使用集結點把我們的飛船聚集在一個固定的地方，防止我們美麗的新世界受到傷害。
MAIN_ADVISOR_MISSILE_BASES        | 需要用這種方式破壞我們的世界讓我很難受，但我們可以考慮分配一部分空間給導彈基地，以防止我們的世界受到更可怕的傷害。
MAIN_ADVISOR_SHIP_WEAPON          | 我們發明了一個新的破壞敵艦的技術。我們絕對應該將這項技術應用於我們未來生產的任何新飛船。
MAIN_ADVISOR_COUNCIL              | 有一個名爲“星際委員會”的會議即將舉行，所有先進文明都可能參加。這是一個機會，讓我們看看還有哪些其他帝國會反對……王國的擴張。
MAIN_ADVISOR_REBELLION            | 最高長官！%1發生了一場叛亂。我不知道原因是什麼，但我知道該怎麼解決它。
MAIN_ADVISOR_RESIST_COUNCIL       | 我們不可能接受這個事情，對吧？我們現在要和議會戰鬥，對吧？！如果我們不去戰鬥的話，想想那些可憐的星球會發生什麼！
MAIN_ADVISOR_COUNCIL_RESISTED     | 這些噁心的叛賊！我們勉強讓他們苟活，現在他們卻想着反抗？下命令讓我們消滅他們吧！他們的世界等着我們去佔領！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 所有世界的命運都已終結……#你曾經是散落在銀河系的無數行星的希望。從你的家園出發，你唯一關心的就是了解和完善每個可能發現的世界的獨特生態。隨着你知識的增加，你的人民的熱情也在增加，有一段時間似乎所有蜥蜴族的共同夢想都將實現。 如果不是因爲你貪婪的敵人想要儘可能地擴大他們的領土，你的夢想很可能會成真。#你的殖民地已經被征服到只剩最後一個星球：你對你的生物羣落的精心照料因爲外太空敵人的到來而毀於一旦。當你的最後一個前哨基地在你周圍燃燒，你的死亡將是不可避免的。戰勝你的傻瓜如此盲目地佔據了這些世界，他們能夠與這些世界和諧相處嗎？你不禁想到這個問題。這個問題的答案，讓你不寒而慄、無法細想……
GAME_OVER_MILITARY_WIN2           | 世界的救贖就在眼前！#勝利！你們的人民和銀河系中的所有行星取得了勝利！從蜥蜴族離開他們的星球尋找新的世界開始，你就知道你人民的願望不會被拒絕。你們把宇宙的生態系統放在文明發展的重中之重，而你的對手們沒有看到其中的智慧，這是他們的錯誤。他們甚至認爲他們的力量足以阻止你實現目標，這是他們的愚蠢。#爲了消除你的敵人們構成的威脅，你採取了最簡單也最直接的做法，這個做法也避免了他們世界的生態遭受進一步地破壞。現在沒有任何一個對手擋在你的面前，你有無限的時間來修復他們造成的損傷。你的人民就像一條流經宇宙的河流，每一個星球將在你們的引導下和平地進化。享受你辛勤勞動的勝利果實吧！並且期待前方道路上等待着蜥蜴族的挑戰吧！

GAME_OVER_MILITARY_ALLIANCE_WIN2  | 世界的救贖就在眼前！#雖然不是你最希望看到的結局，但你也不禁對着來之不易的勝利微笑。你知道這個星系中會有其他種族，他們只會將他們的星球視爲待開發的資源，而無視你的哲學智慧。你的人民準備爲捍衛每個星球的神聖而戰，無論它們有多小。現在你的敵人已經化爲灰燼，你知道每個生態系統的微妙平衡永遠不會受到那些心血來潮的傷害。#你很高興找到能傾聽並願意接受你思考的盟友。他們選擇接受並尊重你的教誨。令你驚訝的是，他們甚至與你一起拿起武器。雖然他們無疑是在捍衛自己的利益，但同時也在幫助你捍衛你的利益。現在，你可以致力於治癒戰爭對星球造成的傷害。隨着時間的推移，你希望說服你的朋友也對他們的世界這樣做……

